nombre,poblacion,superficie,continente
argentina,45000000,2780400,america
japon,125800000,377975,asia
brasil,213993437,8515767,america
alemania,83149300,357022,europa
estados unidos,331002651,9833520,america
españa,47351567,505990,europa
italia,58870762,301340,europa
indonesia,286000000,1904569,asia
mexico,128932753,1964375,america
francia,65273511,643801,europa
china,1439323776,9596961,asia
canada,38005238,9984670,america
australia,25687041,7692024,oceanía
india,1380004385,3287263,asia
rusia,145912025,17098242,europa
nigeria,206139589,923768,africa
sudafrica,59308690,1219090,africa
egipto,102334404,1002450,africa
peru,32971846,1285216,america
colombia,50882891,1141748,america
argelia,43851044,2381741,africa
uganda,45741007,241038,africa
turquia,84339067,783562,asia
tailandia,69799978,513120,asia
iran,83992960,1700000,asia
singapur,5870750,700,asia
